Name,IMDB rating,Year of release
The Shawshank Redemption,9.2,1994
The Godfather,9.1,1972
The Godfather: Part II,9.0,1974
The Dark Knight,9.0,2008
12 Angry Men,8.9,1957
Schindler's List,8.9,1993
The Lord of the Rings: The Return of the King,8.9,2003
Pulp Fiction,8.8,1994
"Il buono, il brutto, il cattivo",8.8,1966
The Lord of the Rings: The Fellowship of the Ring,8.8,2001
Fight Club,8.8,1999
Forrest Gump,8.8,1994
Inception,8.7,2010
The Lord of the Rings: The Two Towers,8.7,2002
Star Wars: Episode V - The Empire Strikes Back,8.7,1980
The Matrix,8.6,1999
Goodfellas,8.6,1990
One Flew Over the Cuckoo's Nest,8.6,1975
Shichinin no samurai,8.6,1954
Se7en,8.6,1995
La vita è bella,8.6,1997
Cidade de Deus,8.6,2002
The Silence of the Lambs,8.6,1991
It's a Wonderful Life,8.6,1946
Saving Private Ryan,8.6,1998
Star Wars,8.6,1977
The Green Mile,8.5,1999
Sen to Chihiro no kamikakushi,8.5,2001
Interstellar,8.5,2014
Gisaengchung,8.5,2019
Léon,8.5,1994
Seppuku,8.5,1962
The Lion King,8.5,1994
The Usual Suspects,8.5,1995
The Pianist,8.5,2002
Terminator 2: Judgment Day,8.5,1991
Back to the Future,8.5,1985
American History X,8.5,1998
Modern Times,8.5,1936
Gladiator,8.5,2000
Psycho,8.5,1960
The Departed,8.5,2006
City Lights,8.5,1931
Whiplash,8.5,2014
The Intouchables,8.5,2011
Hotaru no haka,8.5,1988
The Prestige,8.5,2006
Once Upon a Time in the West,8.4,1968
Casablanca,8.4,1942
Nuovo Cinema Paradiso,8.4,1988
Rear Window,8.4,1954
Alien,8.4,1979
Apocalypse Now,8.4,1979
Memento,8.4,2000
The Great Dictator,8.4,1940
Raiders of the Lost Ark,8.4,1981
Django Unchained,8.4,2012
The Lives of Others,8.4,2006
Paths of Glory,8.4,1957
WALL·E,8.4,2008
Hamilton,8.4,2020
Joker,8.4,2019
The Shining,8.4,1980
Avengers: Infinity War,8.4,2018
Sunset Blvd.,8.4,1950
Witness for the Prosecution,8.4,1957
Spider-Man: Into the Spider-Verse,8.3,2018
Oldeuboi,8.3,2003
Mononoke-hime,8.3,1997
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,1964
The Dark Knight Rises,8.3,2012
Once Upon a Time in America,8.3,1984
Kimi no na wa.,8.3,2016
Coco,8.3,2017
Aliens,8.3,1986
Avengers: Endgame,8.3,2019
Capharnaüm,8.3,2018
American Beauty,8.3,1999
Braveheart,8.3,1995
Tengoku to jigoku,8.3,1963
Toy Story,8.3,1995
Das Boot,8.3,1981
3 Idiots,8.3,2009
Amadeus,8.3,1984
Inglourious Basterds,8.3,2009
Good Will Hunting,8.3,1997
Star Wars: Episode VI - Return of the Jedi,8.3,1983
Taare Zameen Par,8.3,2007
Reservoir Dogs,8.3,1992
2001: A Space Odyssey,8.3,1968
Requiem for a Dream,8.3,2000
Jagten,8.3,2012
Vertigo,8.3,1958
M - Eine Stadt sucht einen Mörder,8.3,1931
Eternal Sunshine of the Spotless Mind,8.3,2004
Citizen Kane,8.3,1941
Dangal,8.3,2016
Idi i smotri,8.2,1985
The Kid,8.2,1921
 Singin' in the Rain,8.2,1952
